id|data_inversa|dia_semana|horario|uf|br|municipio|causa_acidente|tipo_acidente|classificacao_acidente|fase_dia|condicao_metereologica|pessoas|mortos|feridos_leves|feridos_graves
265506|2020-01-27|segunda-feira|12:35:00|MG|381.0|BELO ORIENTE|Velocidade Incompatível|Colisão lateral|Com Vítimas Feridas|Pleno dia|Céu Claro|31|0|28|0
265508|2020-01-27|segunda-feira|16:45:00|RS|116.0|NOVO HAMBURGO|Pista Escorregadia|Colisão transversal|Com Vítimas Feridas|Pleno dia|Garoa/Chuvisco|2|0|1|0
265509|2020-01-27|segunda-feira|16:45:00|RS|116.0|ESTANCIA VELHA|Não guardar distância de segurança|Colisão traseira|Sem Vítimas|Pleno dia|Chuva|3|0|0|0
265511|2020-01-27|segunda-feira|14:15:00|PA|316.0|SANTA MARIA DO PARA|Falta de Atenção à Condução|Saída de leito carroçável|Com Vítimas Feridas|Pleno dia|Céu Claro|2|0|1|0
265512|2020-01-27|segunda-feira|05:10:00|PI|135.0|CORRENTE|Não guardar distância de segurança|Colisão traseira|Sem Vítimas|Pleno dia|Céu Claro|2|0|0|0
265513|2020-01-27|segunda-feira|16:50:00|RS|116.0|SAO LEOPOLDO|Não guardar distância de segurança|Colisão lateral|Com Vítimas Feridas|Pleno dia|Chuva|2|0|1|0
265514|2020-01-27|segunda-feira|16:35:00|RS|386.0|SOLEDADE|Ultrapassagem Indevida|Colisão frontal|Com Vítimas Fatais|Pleno dia|Sol|6|1|1|0
265515|2020-01-27|segunda-feira|16:45:00|RS|290.0|ALEGRETE|Ingestão de Álcool|Colisão lateral|Com Vítimas Feridas|Pleno dia|Sol|5|0|1|0
265516|2020-01-27|segunda-feira|16:40:00|SC|101.0|PESCARIA BRAVA|Falta de Atenção à Condução|Colisão com objeto estático|Com Vítimas Feridas|Pleno dia|Chuva|1|0|1|0
265517|2020-01-07|terça-feira|21:00:00|RO|319.0|PORTO VELHO|Falta de Atenção à Condução|Colisão lateral|Sem Vítimas|Plena Noite|Céu Claro|6|0|0|0
265518|2020-01-27|segunda-feira|17:25:00|PR|376.0|PONTA GROSSA|Falta de Atenção do Pedestre|Atropelamento de Pedestre|Com Vítimas Feridas|Pleno dia|Céu Claro|3|0|0|1
